date,open,high,low,close,adj_close,volume,year,month,day
2023-04-27,136.0,138.32000732421875,135.66000366210938,138.24000549316406,138.24000549316406,18922900,2023,4,27
2023-04-20,139.91000366210938,141.42999267578125,134.0,135.22999572753906,135.22999572753906,55041600,2023,4,20
2023-04-13,128.4600067138672,141.77999877929688,126.83000183105467,141.22000122070312,141.22000122070312,95350200,2023,4,13
2023-04-06,127.0,130.42999267578125,126.22000122070312,128.5,128.5,40574800,2023,4,6
2023-03-30,129.9499969482422,131.44000244140625,126.45999908447266,127.61000061035156,126.6163101196289,58209900,2023,3,30
2023-03-23,127.9000015258789,130.22000122070312,123.11000061035156,129.13999938964844,128.1343994140625,83258400,2023,3,23
2023-03-16,128.00999450683594,131.9499969482422,125.4499969482422,127.18000030517578,126.18965911865234,120888000,2023,3,16
2023-03-09,136.75999450683594,137.35000610351562,126.7300033569336,128.25999450683594,127.26124572753906,170317600,2023,3,9
2023-03-02,142.24000549316406,144.0399932861328,136.88999938964844,137.8000030517578,136.72695922851562,51631300,2023,3,2
2023-02-23,138.72999572753906,143.75999450683594,137.94000244140625,142.5500030517578,141.43997192382812,45368600,2023,2,23
2023-02-16,142.91000366210938,143.38999938964844,137.44000244140625,138.55999755859375,137.4810333251953,37217900,2023,2,16
2023-02-09,143.1199951171875,143.88999938964844,138.58999633789062,143.8000030517578,142.68023681640625,36138300,2023,2,9
2023-02-02,140.0,144.33999633789062,138.0,142.63999938964844,141.52926635742188,49135400,2023,2,2
2023-01-26,139.4199981689453,141.25999450683594,138.1199951171875,139.58999633789062,138.50302124023438,39737300,2023,1,26
2023-01-19,135.32000732421875,140.2899932861328,133.5500030517578,139.1199951171875,138.03668212890625,52795000,2023,1,19
2023-01-12,140.0,143.49000549316406,134.8000030517578,136.57000732421875,135.5065460205078,58887200,2023,1,12
2023-01-05,135.66000366210938,139.75,133.6999969482422,139.6300048828125,137.52685546875,44645100,2023,1,5
2022-12-29,132.92999267578125,137.67999267578125,132.30999755859375,136.3800048828125,134.3258056640625,38620100,2022,12,29
2022-12-22,131.10000610351562,133.41000366210938,128.41000366210938,132.4600067138672,130.46485900878906,27978800,2022,12,22
2022-12-15,131.14999389648438,132.97999572753906,128.42999267578125,132.16000366210938,130.16937255859375,58840300,2022,12,15
2022-12-08,132.3300018310547,137.08999633789062,131.42999267578125,133.41000366210938,131.40054321289062,45698200,2022,12,8
2022-12-01,138.17999267578125,138.66000366210938,129.8699951171875,131.5,129.51930236816406,53651000,2022,12,1
2022-11-24,136.47999572753906,138.17999267578125,133.19000244140625,138.17999267578125,136.0986785888672,35813900,2022,11,24
2022-11-17,132.0,136.5,131.27999877929688,136.47999572753906,134.42430114746094,42591100,2022,11,17
2022-11-10,132.6300048828125,136.1699981689453,131.60000610351562,133.1199951171875,131.1149139404297,60073600,2022,11,10
2022-11-03,126.30999755859376,132.2899932861328,125.91000366210938,129.74000549316406,127.78582763671876,58816900,2022,11,3
2022-10-27,125.1999969482422,130.36000061035156,124.0500030517578,126.97000122070312,125.05754089355467,65815300,2022,10,27
2022-10-20,117.16000366210938,125.1999969482422,115.6500015258789,124.11000061035156,122.2406234741211,68381000,2022,10,20
2022-10-13,101.9800033569336,120.13999938964844,101.76000213623048,116.51000213623048,114.75509643554688,116673800,2022,10,13
2022-10-06,109.45999908447266,110.19000244140624,101.27999877929688,103.61000061035156,102.04940032958984,58054900,2022,10,6
2022-09-29,106.9499969482422,112.98999786376952,104.4000015258789,110.38999938964844,107.76313018798828,67892500,2022,9,29
2022-09-22,113.37999725341795,113.5999984741211,104.6500015258789,107.98999786376952,105.42022705078124,71132900,2022,9,22
2022-09-15,116.12000274658205,119.37999725341795,112.41999816894533,112.48999786376952,109.81314849853516,56092100,2022,9,15
2022-09-08,115.27999877929688,121.5500030517578,114.62999725341795,116.12000274658205,113.35677337646484,51599600,2022,9,8
2022-09-01,113.29000091552734,117.4499969482422,111.91000366210938,115.9000015258789,113.14200592041016,41046200,2022,9,1
2022-08-25,116.16000366210938,119.98999786376952,113.33999633789062,113.7300033569336,111.02365112304688,51636100,2022,8,25
2022-08-18,122.23999786376952,122.47000122070312,114.4499969482422,115.8000030517578,113.0443878173828,49342200,2022,8,18
2022-08-11,119.9000015258789,124.23999786376952,119.30999755859376,122.58999633789062,119.67279815673828,47752100,2022,8,11
2022-08-04,112.8499984741211,119.37000274658205,111.0199966430664,118.38999938964844,115.57274627685548,65622100,2022,8,4
2022-07-28,115.25,116.5,111.70999908447266,113.61000061035156,110.906494140625,67407100,2022,7,28
2022-07-21,114.44000244140624,116.45999908447266,113.02999877929688,115.23999786376952,112.4977035522461,48647900,2022,7,21
2022-07-14,107.98999786376952,115.83999633789062,106.05999755859376,114.54000091552734,111.81436920166016,82576400,2022,7,14
2022-07-07,113.5,115.6500015258789,110.37999725341795,111.91000366210938,109.24696350097656,51325500,2022,7,7
2022-06-30,113.16999816894533,114.41999816894533,109.3000030517578,111.88999938964844,108.26971435546876,48916600,2022,6,30
2022-06-23,115.01000213623048,119.29000091552734,111.4800033569336,115.3000030517578,111.56937408447266,58902400,2022,6,23
2022-06-16,113.86000061035156,117.02999877929688,111.87000274658205,115.18000030517578,111.45326232910156,69168000,2022,6,16
2022-06-09,127.37000274658205,128.10000610351562,113.16999816894533,115.41000366210938,111.6758270263672,70752300,2022,6,9
2022-06-02,129.89999389648438,132.38999938964844,126.9000015258789,128.0,123.85846710205078,43438600,2022,6,2
2022-05-26,128.3699951171875,133.14999389648438,128.2100067138672,129.91000366210938,125.70665740966795,54951700,2022,5,26
2022-05-19,118.19000244140624,127.86000061035156,115.0199966430664,127.23999786376952,123.123046875,82397900,2022,5,19
2022-05-12,117.0,122.97000122070312,115.37000274658205,120.08999633789062,116.20439910888672,60856100,2022,5,12
2022-05-05,125.25,126.0999984741211,117.55999755859376,118.13999938964844,114.31748962402344,74798300,2022,5,5
2022-04-28,122.80999755859376,127.4000015258789,118.22000122070312,127.0999984741211,122.98757934570312,79284800,2022,4,28
2022-04-21,132.22000122070312,132.80999755859375,121.22000122070312,121.41999816894533,117.4913558959961,78066700,2022,4,21
2022-04-14,126.5,133.50999450683594,125.0199966430664,131.5800018310547,127.32262420654295,59115200,2022,4,14
2022-04-07,130.9499969482422,134.89999389648438,126.01000213623048,127.3000030517578,123.1811065673828,80415400,2022,4,7
2022-03-31,139.8300018310547,140.35000610351562,130.9600067138672,131.49000549316406,126.2993621826172,75516600,2022,3,31
2022-03-24,140.3000030517578,143.60000610351562,137.89999389648438,140.5399932861328,134.99209594726562,49306700,2022,3,24
2022-03-17,136.86000061035156,143.92999267578125,135.9199981689453,139.77999877929688,134.26211547851562,79024900,2022,3,17
2022-03-10,131.86000061035156,138.49000549316406,128.4199981689453,138.39999389648438,132.93658447265625,86904400,2022,3,10
2022-03-03,139.83999633789062,140.97999572753906,127.2699966430664,133.44000244140625,128.17237854003906,101960900,2022,3,3
2022-02-24,142.94000244140625,150.1300048828125,133.5800018310547,139.27999877929688,133.78184509277344,131584100,2022,2,24
2022-02-17,153.0,154.13999938964844,147.97000122070312,148.69000244140625,142.8203887939453,46233300,2022,2,17
2022-02-10,156.66000366210938,159.02999877929688,150.32000732421875,155.0,148.8813018798828,68888600,2022,2,10
2022-02-03,150.0,158.47999572753906,148.2899932861328,156.60000610351562,150.4181365966797,71244100,2022,2,3
2022-01-27,149.4199981689453,151.47000122070312,142.1699981689453,149.94000244140625,144.0210418701172,72665500,2022,1,27
